PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
216,O,2,1,L,32,Pass,Complete,9,LT TROFF 4,BELT,,,,,,,,3
217,O,1,10,L,23,Run,Rush,0,LT TRACE YAK,COUGAR GUY,,,,,,,,3
218,O,2,10,R,23,Run,Rush,5,LT TRACE YAK,SOONER READ,,,,,,,,3
219,O,3,5,R,13,Run,Rush,10,DING,ZIP REAM,,,,,,,,3
220,O,1,3,R,3,Run,"Rush, TD",3,LT JUMBO,BAYLOR,,,,,,,,3
221,D,1,10,L,-34,Run,Rush,2,,,,,,,,,,3
222,D,2,8,L,-36,Run,Rush,4,,,,,,,,,,3
223,D,3,4,R,-40,Pass,"Complete, TD",60,,,,,,,,,,3
224,O,1,10,M,-33,Run,Rush,2,DOS BACK,HOUSTON GUY FRONT,,,,,,,,3
225,O,2,8,R,-35,Run,Rush,-2,DOS,LONGHORN,,,,,,,,3
226,O,3,9,L,-34,Pass,Complete,6,LT TRIO BACK,LAKE,,,,,,,,3
227,D,1,10,R,-49,Run,Rush,25,,,,,,,,,,3
228,D,1,10,L,26,Run,Rush,2,,,,,,,,,,3
229,D,2,8,L,24,Run,Rush,6,,,,,,,,,,4
230,D,3,2,L,18,Run,Rush,3,,,,,,,,,,4
231,D,1,10,L,15,Run,Rush,6,,,,,,,,,,4
232,D,2,4,L,9,Run,Rush,5,,,,,,,,,,4
233,D,1,4,L,4,Run,Rush,-2,,,,,,,,,,4
234,D,2,6,L,6,Pass,Incomplete,0,,,,,,,,,,4
235,D,3,6,L,6,Pass,"Complete, TD",6,,,,,,,,,,4
236,O,1,10,M,-35,Pass,Incomplete,0,DOS BACK 1,SHOCK SLICE,,,,,,,,4
237,O,2,10,R,-35,Run,Rush,7,LT TRIO BACK,ZIP READ,,,,,,,,4
238,O,3,3,R,-42,Run,Rush,4,LT TRIO BACK,COUGAR GUY,,,,,,,,4
239,O,1,10,R,-46,Pass,Complete,17,DOS BACK,BURT FLOOD,,,,,,,,4
240,O,1,10,R,37,Run,Rush,6,NASCAR ALL,AKRON READ,,,,,,,,4
241,O,2,4,L,31,Pass,Incomplete,0,TRIO BACK,VERT,,,,,,,,4
242,O,3,4,M,31,Run,Rush,4,TRIO,DEVIL FRONT,,,,,,,,4
243,O,1,10,M,27,Pass,Sack,-8,TRIO BACK,SALT,,,,,,,,4
244,O,2,18,M,35,Pass,Incomplete,0,DOS BACK,SHOCK SLICE,,,,,,,,4
245,O,3,18,M,35,Pass,Complete,12,DOS BACK,SMASH,,,,,,,,4
246,O,4,6,M,23,Pass,Incomplete,0,LT DOS BACK,STOKE,,,,,,,,4
247,D,1,10,R,-23,Run,Rush,5,,,,,,,,,,4
248,D,2,5,M,-29,Run,Rush,0,,,,,,,,,,4
249,D,3,5,M,-29,,Penalty,5,,,,,,,,,,4
250,D,1,10,M,-34,Run,Rush,2,,,,,,,,,,4
251,D,2,8,M,-36,Run,Rush,-3,,,,,,,,,,4
252,D,3,11,M,-33,Pass,Complete,29,,,,,,,,,,4
253,D,1,10,R,38,Run,Rush,5,,,,,,,,,,4
254,D,2,5,R,33,Run,Rush,3,,,,,,,,,,4
255,D,3,2,R,30,Run,Rush,5,,,,,,,,,,4
256,D,1,10,R,-24,Pass,Complete,18,DOS,,R,R,,,4-2,ROLL,,1
257,D,1,10,R,-42,Pass,Incomplete,0,DOUBLES,,BAL,L,,,4-1,BLUE,,1
258,D,2,10,R,-42,Pass,Complete,7,DOUBLES,,BAL,,,,4-1,BLUE,,1
259,D,3,3,L,-49,Run,Rush,-2,TRIO,,R,R,,,4-3,BLACK,,1
260,O,1,10,L,-9,Pass,Incomplete,0,ACE RT,,,,,5,ODD,,,1
261,O,2,10,L,-9,Run,Rush,11,FAR RT,,,,,1,ODD,,,1
262,O,1,10,L,-20,Run,Rush,11,FAR RT,,,,,,ODD,,,1
263,O,1,10,L,-31,Pass,Complete,14,NEAR RT,,,,,5,ODD,,,1
264,O,1,10,R,-45,Pass,Incomplete,0,FAR LT,,,,,4,ODD,,MB,1
265,O,2,10,R,-45,Run,Rush,3,FAR RT,,,,,,ODD,,,1
266,O,3,7,L,-48,Pass,Interception,,2,,,,,2,ODD,,W1J3,1
267,D,1,10,M,10,Pass,Scramble,2,DOUBLES,,BAL,R,,,4-1,ROLL,,1
268,D,2,8,R,8,Pass,Complete,1,DOUBLES,,L,L,,,4-1,BLUE,,1
269,D,3,7,R,7,Pass,"Complete, TD",7,DOUBLES SQUEEZE,,BAL,,,,4-3,BLUE,,1
270,D,1,10,L,41,Pass,Incomplete,0,QUAD,,R,L,,,4-1,SOLO,,1
271,D,2,10,L,41,Pass,Penalty,-2,TRIPS STACK,,R,R,,,4-1,SOLO,,1
272,D,2,12,R,43,Run,Rush,5,DOUBLES,,BAL,,,,4-3,TAMPA,,1
273,D,3,7,M,38,Pass,Incomplete,0,EMPTY,,R,R,,,3-3,TAMPA,BOUNDARY MA,1
274,D,1,10,M,38,Pass,Complete,32,DOUBLES,,BAL,,,,3-3,TAMPA,FIELD MB,1
275,D,1,6,R,6,Pass,Scramble,-4,TREY 6,,R,L,,,4-2,BLACK,,1
276,D,2,10,L,10,Run,Rush,9,DOUBLES,,BAL,R,,,4-1,BLUE,,1
277,D,3,1,L,1,Run,Rush,0,DOUBLES,,BAL,R,,,4-3,BLACK,,1
278,D,4,1,L,1,Pass,"Complete, TD",1,DOUBLES SQUEEZE,,BAL,,,,4-3,BLUE,,1
279,D,1,10,R,-25,Pass,Incomplete,0,LT QUAD,,L,L,,,4-2,SOLO,,1
280,D,2,10,R,-25,Pass,Incomplete,0,DOUBLES,,BAL,,,,4-1,BLUE,,1
281,D,3,10,R,-25,Pass,Incomplete,0,TREY 1,,R,R,,,3-3,TAMPA,,1
282,O,1,10,L,-42,Run,Rush,13,DOS RT,,,,,,ODD,,J3,1
283,O,1,10,L,45,Run,Rush,18,DOS RT,,,,,,ODD,,,1
284,O,1,10,L,27,Pass,Complete,7,DOS RT,,,,,6,ODD,,,1
285,O,2,3,R,20,Pass,Incomplete,0,3 LT,,,,,4,ODD,,,1
